species,sighting_date,dive_site,url,title,excerpt,validation,notes,N_observed
reef shark,2022-12-12,Surin Islands,https://www.thesmilingseahorse.com/blog/christmas-trip-in-the-north-andaman-19th-to-25th-of-december-2022,"Christmas trip in North Andaman, Thailand from 19th to 25th of December 2022 - Diving liveaboard in Thailand and Myanmar","anck). Great dives were had with lots of schooling fishes, cute nudibranch , octopus, and black tip reef shark. Torinla Rocks, In surin islands, were amazing this week, with Pikachu in their trees (hydroids) an",valid,,1.0
Jenkins Whipray,2021-11-02,Surin Islands,https://www.thesmilingseahorse.com/blog/clear-blue-sky-and-dolphins-dream-for-our-second-trip-of-the-season-on-the-andaman-sea,Clear blue sky and dolphins dream for our second trip of the season on the Andaman Sea! - Diving liveaboard in Thailand and Myanmar,"for one group being a Hawksbill turtle, a bunch of Thecacera Sp AKA Pikachu, some huge Jenkin wipe ray and a very nice school of sweetlips…! Another group got lucky spotting napoleon fish, hump head par",valid,,3.0
SGuitarfish,2021-11-02,Surin Islands,https://www.thesmilingseahorse.com/blog/clear-blue-sky-and-dolphins-dream-for-our-second-trip-of-the-season-on-the-andaman-sea,Clear blue sky and dolphins dream for our second trip of the season on the Andaman Sea! - Diving liveaboard in Thailand and Myanmar,"e school of sweetlips…! Another group got lucky spotting napoleon fish, hump head parrot fish and a guitarfish at night. Thecacera Nudibranch Beautiful green turtle and coral reef Sweetlips in formation for the",valid,,1.0
ray,,,https://www.thesmilingseahorse.com/blog/common-bannerfish-vs-schooling-bannerfish-vs-moorish-idol,Common bannerfish vs schooling bannerfish vs moorish idol - Diving liveaboard in Thailand and Myanmar,"alse moorish idol. The schooling bannerfish, Heniochus diphreutes Distinctive features: The first 3 rays of the dorsal fin are very small and black color. They are followed by a very long 4th ray (the sam",not valid,,
ray,,,https://www.thesmilingseahorse.com/blog/common-bannerfish-vs-schooling-bannerfish-vs-moorish-idol,Common bannerfish vs schooling bannerfish vs moorish idol - Diving liveaboard in Thailand and Myanmar,"first 3 rays of the dorsal fin are very small and black color. They are followed by a very long 4th ray (the same length as the body), white, which forms a ""whip"". The body is white with 2 large vertical",not valid,,
ray,,,https://www.thesmilingseahorse.com/blog/common-bannerfish-vs-schooling-bannerfish-vs-moorish-idol,Common bannerfish vs schooling bannerfish vs moorish idol - Diving liveaboard in Thailand and Myanmar,"uzzle, which is pointed and ended in a small mouth. The base of the pectoral fins is black then the rays are yellow. The dorsal behind the whip and the caudal are yellow. The pelvic muscles are pointed. s",not valid,,
ray,,,https://www.thesmilingseahorse.com/blog/common-bannerfish-vs-schooling-bannerfish-vs-moorish-idol,Common bannerfish vs schooling bannerfish vs moorish idol - Diving liveaboard in Thailand and Myanmar,"ons, channels and sheltered outer reef slopes 15 to 75 meters deep. Distinctive features: The first rays of its dorsal fin stretch into a long white filament. The body is white with two black vertical str",not valid,,
rays,,,https://www.thesmilingseahorse.com/blog/common-bannerfish-vs-schooling-bannerfish-vs-moorish-idol,Common bannerfish vs schooling bannerfish vs moorish idol - Diving liveaboard in Thailand and Myanmar,"alse moorish idol. The schooling bannerfish, Heniochus diphreutes Distinctive features: The first 3 rays of the dorsal fin are very small and black color. They are followed by a very long 4th ray (the sam",not valid,,
rays,,,https://www.thesmilingseahorse.com/blog/common-bannerfish-vs-schooling-bannerfish-vs-moorish-idol,Common bannerfish vs schooling bannerfish vs moorish idol - Diving liveaboard in Thailand and Myanmar,"uzzle, which is pointed and ended in a small mouth. The base of the pectoral fins is black then the rays are yellow. The dorsal behind the whip and the caudal are yellow. The pelvic muscles are pointed. s",not valid,,
rays,,,https://www.thesmilingseahorse.com/blog/common-bannerfish-vs-schooling-bannerfish-vs-moorish-idol,Common bannerfish vs schooling bannerfish vs moorish idol - Diving liveaboard in Thailand and Myanmar,"ons, channels and sheltered outer reef slopes 15 to 75 meters deep. Distinctive features: The first rays of its dorsal fin stretch into a long white filament. The body is white with two black vertical str",not valid,,
Mobula ray,2020-01-31,Burma Banks,https://www.thesmilingseahorse.com/blog/crazy-trip-in-the-mergui-archipelago,Crazy trip in the Mergui Archipelago - Diving liveaboard in Thailand and Myanmar,"wtail and great barracuda, big eye, blue fin and golden trivally in big school and the visit from a Mobula during our safety stop ! Just WOW! What a fish soup for this dive ! Can’t wait for the next trip, m",valid,,1.0
Blotched Fantail Ray,2020-01-31,Burma Banks,https://www.thesmilingseahorse.com/blog/crazy-trip-in-the-mergui-archipelago,Crazy trip in the Mergui Archipelago - Diving liveaboard in Thailand and Myanmar,"ng in 40m visibility. We’ve seen loads of sharks, nurse, silver tip, grey reef and some big marbled stingray, a huge mangrove whipray and many kuhl’s stingray. Nurse Shark at Burma Banks Marbled Ray During th",valid,,3.0
Mangrove Whipray,2020-01-31,Burma Banks,https://www.thesmilingseahorse.com/blog/crazy-trip-in-the-mergui-archipelago,Crazy trip in the Mergui Archipelago - Diving liveaboard in Thailand and Myanmar,"nurse, silver tip, grey reef and some big marbled stingray, a huge mangrove whipray and many kuhl’s stingray. Nurse Shark at Burma Banks Marbled Ray During the surface interval, we are not in our rest with th",valid,,1.0
Kuhl's stingray,2020-01-31,Burma Banks,https://www.thesmilingseahorse.com/blog/crazy-trip-in-the-mergui-archipelago,Crazy trip in the Mergui Archipelago - Diving liveaboard in Thailand and Myanmar,"bled stingray, a huge mangrove whipray and many kuhl’s stingray. Nurse Shark at Burma Banks Marbled Ray During the surface interval, we are not in our rest with the visit of a pod of around 20 dolphins.",valid,,10.0
Rays,2020-01-31,Burma Banks,https://www.thesmilingseahorse.com/blog/crazy-trip-in-the-mergui-archipelago,Crazy trip in the Mergui Archipelago - Diving liveaboard in Thailand and Myanmar,"ite, Dendro’s Peak for the last immersion of the trip. It was a pure festival of fishes and so many rays ! Chevron, yellowtail and great barracuda, big eye, blue fin and golden trivally in big school and",valid,,10.0
shark,2020-01-31,Burma Banks,https://www.thesmilingseahorse.com/blog/crazy-trip-in-the-mergui-archipelago,Crazy trip in the Mergui Archipelago - Diving liveaboard in Thailand and Myanmar,Blog about diving in Burma and Thailand Dolphin and sharks in the Mergui Archipelago 31/1/2020 0 Comments Full moon diving trip in Burma... So much fun on boa,not valid,,10.0
Nurse Shark,2020-01-31,Burma Banks,https://www.thesmilingseahorse.com/blog/crazy-trip-in-the-mergui-archipelago,Crazy trip in the Mergui Archipelago - Diving liveaboard in Thailand and Myanmar,"a, we reach the banks easily and had 2 amazing day of diving in 40m visibility. We’ve seen loads of sharks, nurse, silver tip, grey reef and some big marbled stingray, a huge mangrove whipray and many kuhl’",valid,,12.0
Silvertip Shark,2020-01-31,Burma Banks,https://www.thesmilingseahorse.com/blog/crazy-trip-in-the-mergui-archipelago,Crazy trip in the Mergui Archipelago - Diving liveaboard in Thailand and Myanmar,"p, grey reef and some big marbled stingray, a huge mangrove whipray and many kuhl’s stingray. Nurse Shark at Burma Banks Marbled Ray During the surface interval, we are not in our rest with the visit of a",valid,,5.0
Grey Reef Shark,2020-01-31,Burma Banks,https://www.thesmilingseahorse.com/blog/crazy-trip-in-the-mergui-archipelago,Crazy trip in the Mergui Archipelago - Diving liveaboard in Thailand and Myanmar,"ver tip, grey reef and some big marbled stingray, a huge mangrove whipray and many kuhl’s stingray. Nurse Shark at Burma Banks Marbled Ray During the surface interval, we are not in our rest with the visit of a",valid,,6.0
sharks,2020-01-31,Burma Banks,https://www.thesmilingseahorse.com/blog/crazy-trip-in-the-mergui-archipelago,Crazy trip in the Mergui Archipelago - Diving liveaboard in Thailand and Myanmar,Blog about diving in Burma and Thailand Dolphin and sharks in the Mergui Archipelago 31/1/2020 0 Comments Full moon diving trip in Burma... So much fun on boa,not valid,,6.0
sharks,2020-01-31,Burma Banks,https://www.thesmilingseahorse.com/blog/crazy-trip-in-the-mergui-archipelago,Crazy trip in the Mergui Archipelago - Diving liveaboard in Thailand and Myanmar,"a, we reach the banks easily and had 2 amazing day of diving in 40m visibility. We’ve seen loads of sharks, nurse, silver tip, grey reef and some big marbled stingray, a huge mangrove whipray and many kuhl’",not valid,,6.0
rays,2020-01-31,Burma Banks,https://www.thesmilingseahorse.com/blog/crazy-trip-in-the-mergui-archipelago,Crazy trip in the Mergui Archipelago - Diving liveaboard in Thailand and Myanmar,"ite, Dendro’s Peak for the last immersion of the trip. It was a pure festival of fishes and so many rays ! Chevron, yellowtail and great barracuda, big eye, blue fin and golden trivally in big school and",not valid,,6.0
sharks,2020-01-31,Burma Banks,https://www.thesmilingseahorse.com/blog/crazy-trip-in-the-mergui-archipelago,Crazy trip in the Mergui Archipelago - Diving liveaboard in Thailand and Myanmar,Blog about diving in Burma and Thailand Dolphin and sharks in the Mergui Archipelago 31/1/2020 0 Comments Full moon diving trip in Burma... So much fun on boa,not valid,,6.0
sharks,2020-01-31,Burma Banks,https://www.thesmilingseahorse.com/blog/crazy-trip-in-the-mergui-archipelago,Crazy trip in the Mergui Archipelago - Diving liveaboard in Thailand and Myanmar,"a, we reach the banks easily and had 2 amazing day of diving in 40m visibility. We’ve seen loads of sharks, nurse, silver tip, grey reef and some big marbled stingray, a huge mangrove whipray and many kuhl’",not valid,,6.0
ray,,,https://www.thesmilingseahorse.com/blog/discover-the-enigmatic-sea-snakes-fascinating-creatures-of-the-ocean,Discover the Enigmatic Sea Snakes: Fascinating Creatures of the Ocean - Diving liveaboard in Thailand and Myanmar,"the digestion of their prey. In their natural habitat, sea snakes face predation from eels, sharks, rays and other large fish. Reproduction and Life Cycle of sea snakes and sea kraits: Reptiles (including",not valid,,
shark,,,https://www.thesmilingseahorse.com/blog/discover-the-enigmatic-sea-snakes-fascinating-creatures-of-the-ocean,Discover the Enigmatic Sea Snakes: Fascinating Creatures of the Ocean - Diving liveaboard in Thailand and Myanmar,"ilitate the digestion of their prey. In their natural habitat, sea snakes face predation from eels, sharks, rays and other large fish. Reproduction and Life Cycle of sea snakes and sea kraits: Reptiles (inc",not valid,,
sharks,,,https://www.thesmilingseahorse.com/blog/discover-the-enigmatic-sea-snakes-fascinating-creatures-of-the-ocean,Discover the Enigmatic Sea Snakes: Fascinating Creatures of the Ocean - Diving liveaboard in Thailand and Myanmar,"ilitate the digestion of their prey. In their natural habitat, sea snakes face predation from eels, sharks, rays and other large fish. Reproduction and Life Cycle of sea snakes and sea kraits: Reptiles (inc",not valid,,
rays,,,https://www.thesmilingseahorse.com/blog/discover-the-enigmatic-sea-snakes-fascinating-creatures-of-the-ocean,Discover the Enigmatic Sea Snakes: Fascinating Creatures of the Ocean - Diving liveaboard in Thailand and Myanmar,"the digestion of their prey. In their natural habitat, sea snakes face predation from eels, sharks, rays and other large fish. Reproduction and Life Cycle of sea snakes and sea kraits: Reptiles (including",not valid,,
sharks,,,https://www.thesmilingseahorse.com/blog/discover-the-enigmatic-sea-snakes-fascinating-creatures-of-the-ocean,Discover the Enigmatic Sea Snakes: Fascinating Creatures of the Ocean - Diving liveaboard in Thailand and Myanmar,"ilitate the digestion of their prey. In their natural habitat, sea snakes face predation from eels, sharks, rays and other large fish. Reproduction and Life Cycle of sea snakes and sea kraits: Reptiles (inc",not valid,,
shark,,Richelieu Rock,https://www.thesmilingseahorse.com/blog/discover-the-magnificent-species-of-sharks-that-you-may-encounter-in-the-andaman-sea,Discover the magnificent species of sharks that you may encounter in the Andaman Sea. - Diving liveaboard in Thailand and Myanmar,Blog about diving in Burma and Thailand Discover the magnificent species of sharks that you may encounter in the Andaman Sea. 11/7/2023 0 Comments The Andaman Sea in Thailand and Mya,not valid,,
shark,,Richelieu Rock,https://www.thesmilingseahorse.com/blog/discover-the-magnificent-species-of-sharks-that-you-may-encounter-in-the-andaman-sea,Discover the magnificent species of sharks that you may encounter in the Andaman Sea. - Diving liveaboard in Thailand and Myanmar,"s home to an array of captivating marine life. Among the majestic creatures that roam these waters, sharks hold a special place in the hearts of many... ​ In this article, we will delve into the fascinating",not valid,,
shark,,Richelieu Rock,https://www.thesmilingseahorse.com/blog/discover-the-magnificent-species-of-sharks-that-you-may-encounter-in-the-andaman-sea,Discover the magnificent species of sharks that you may encounter in the Andaman Sea. - Diving liveaboard in Thailand and Myanmar,"ecial place in the hearts of many... ​ In this article, we will delve into the fascinating world of sharks that you can encounter in the Andaman Sea... 9 species of sharks we most often encounter in the And",not valid,,
shark,,Richelieu Rock,https://www.thesmilingseahorse.com/blog/discover-the-magnificent-species-of-sharks-that-you-may-encounter-in-the-andaman-sea,Discover the magnificent species of sharks that you may encounter in the Andaman Sea. - Diving liveaboard in Thailand and Myanmar,elve into the fascinating world of sharks that you can encounter in the Andaman Sea... 9 species of sharks we most often encounter in the Andaman Sea 1. Leopard Sharks (Stegostoma fasciatum) : Leopard Shark,not valid,,
shark,,Richelieu Rock,https://www.thesmilingseahorse.com/blog/discover-the-magnificent-species-of-sharks-that-you-may-encounter-in-the-andaman-sea,Discover the magnificent species of sharks that you may encounter in the Andaman Sea. - Diving liveaboard in Thailand and Myanmar,"ter in the Andaman Sea... 9 species of sharks we most often encounter in the Andaman Sea 1. Leopard Sharks (Stegostoma fasciatum) : Leopard Sharks (Stegostoma fasciatum) Also known as zebra sharks, these me",not valid,,
shark,,Richelieu Rock,https://www.thesmilingseahorse.com/blog/discover-the-magnificent-species-of-sharks-that-you-may-encounter-in-the-andaman-sea,Discover the magnificent species of sharks that you may encounter in the Andaman Sea. - Diving liveaboard in Thailand and Myanmar,"harks we most often encounter in the Andaman Sea 1. Leopard Sharks (Stegostoma fasciatum) : Leopard Sharks (Stegostoma fasciatum) Also known as zebra sharks, these mesmerizing creatures can be found in the",not valid,,
shark,,Richelieu Rock,https://www.thesmilingseahorse.com/blog/discover-the-magnificent-species-of-sharks-that-you-may-encounter-in-the-andaman-sea,Discover the magnificent species of sharks that you may encounter in the Andaman Sea. - Diving liveaboard in Thailand and Myanmar,". Leopard Sharks (Stegostoma fasciatum) : Leopard Sharks (Stegostoma fasciatum) Also known as zebra sharks, these mesmerizing creatures can be found in the shallow waters of the Andaman Sea. With their dist",not valid,,
shark,,Richelieu Rock,https://www.thesmilingseahorse.com/blog/discover-the-magnificent-species-of-sharks-that-you-may-encounter-in-the-andaman-sea,Discover the magnificent species of sharks that you may encounter in the Andaman Sea. - Diving liveaboard in Thailand and Myanmar,"allow waters of the Andaman Sea. With their distinctive patterns of dark spots and stripes, leopard sharks are a sight to behold. Despite their size, reaching up to 3 meters in length, they are docile and p",not valid,,
shark,,Richelieu Rock,https://www.thesmilingseahorse.com/blog/discover-the-magnificent-species-of-sharks-that-you-may-encounter-in-the-andaman-sea,Discover the magnificent species of sharks that you may encounter in the Andaman Sea. - Diving liveaboard in Thailand and Myanmar,"reaching up to 3 meters in length, they are docile and pose no threat to humans. ​ Type: The zebra shark is the sole member of the family Stegostomatidae. It is found throughout the tropical Indo-Pacific,",not valid,,
shark,,Richelieu Rock,https://www.thesmilingseahorse.com/blog/discover-the-magnificent-species-of-sharks-that-you-may-encounter-in-the-andaman-sea,Discover the magnificent species of sharks that you may encounter in the Andaman Sea. - Diving liveaboard in Thailand and Myanmar,depth of 62 meter. Size : 1–3 meters. Habitat: what site gives you the best changes to see Leopard sharks? Divers often encounter them at Phuket Shark point resting on sandy bottoms or gracefully gliding t,not valid,,
shark,,Richelieu Rock,https://www.thesmilingseahorse.com/blog/discover-the-magnificent-species-of-sharks-that-you-may-encounter-in-the-andaman-sea,Discover the magnificent species of sharks that you may encounter in the Andaman Sea. - Diving liveaboard in Thailand and Myanmar,: what site gives you the best changes to see Leopard sharks? Divers often encounter them at Phuket Shark point resting on sandy bottoms or gracefully gliding through coral reefs. Reproduction: Zebra shark,not valid,,
shark,,Richelieu Rock,https://www.thesmilingseahorse.com/blog/discover-the-magnificent-species-of-sharks-that-you-may-encounter-in-the-andaman-sea,Discover the magnificent species of sharks that you may encounter in the Andaman Sea. - Diving liveaboard in Thailand and Myanmar,"Shark point resting on sandy bottoms or gracefully gliding through coral reefs. Reproduction: Zebra sharks are oviparous, meaning they lay eggs instead of giving live birth. They can breed year-round withou",not valid,,
shark,,Richelieu Rock,https://www.thesmilingseahorse.com/blog/discover-the-magnificent-species-of-sharks-that-you-may-encounter-in-the-andaman-sea,Discover the magnificent species of sharks that you may encounter in the Andaman Sea. - Diving liveaboard in Thailand and Myanmar,"casings known as ""mermaid purses."" After four to six months, the eggs hatch, and the juvenile zebra sharks can fend for themselves and search for food. 2 . Whitetip Reef Sharks (Triaenodon obesus) Whitetip",not valid,,
shark,,Richelieu Rock,https://www.thesmilingseahorse.com/blog/discover-the-magnificent-species-of-sharks-that-you-may-encounter-in-the-andaman-sea,Discover the magnificent species of sharks that you may encounter in the Andaman Sea. - Diving liveaboard in Thailand and Myanmar,"hatch, and the juvenile zebra sharks can fend for themselves and search for food. 2 . Whitetip Reef Sharks (Triaenodon obesus) Whitetip Reef Sharks (Triaenodon obesus) These sleek and slender sharks are com",not valid,,
shark,,Richelieu Rock,https://www.thesmilingseahorse.com/blog/discover-the-magnificent-species-of-sharks-that-you-may-encounter-in-the-andaman-sea,Discover the magnificent species of sharks that you may encounter in the Andaman Sea. - Diving liveaboard in Thailand and Myanmar,"fend for themselves and search for food. 2 . Whitetip Reef Sharks (Triaenodon obesus) Whitetip Reef Sharks (Triaenodon obesus) These sleek and slender sharks are commonly spotted in the Andaman Sea, particu",not valid,,
shark,,Richelieu Rock,https://www.thesmilingseahorse.com/blog/discover-the-magnificent-species-of-sharks-that-you-may-encounter-in-the-andaman-sea,Discover the magnificent species of sharks that you may encounter in the Andaman Sea. - Diving liveaboard in Thailand and Myanmar,"ip Reef Sharks (Triaenodon obesus) Whitetip Reef Sharks (Triaenodon obesus) These sleek and slender sharks are commonly spotted in the Andaman Sea, particularly around rocky reefs and coral formations. Name",not valid,,
shark,,Richelieu Rock,https://www.thesmilingseahorse.com/blog/discover-the-magnificent-species-of-sharks-that-you-may-encounter-in-the-andaman-sea,Discover the magnificent species of sharks that you may encounter in the Andaman Sea. - Diving liveaboard in Thailand and Myanmar,"and coral formations. Named for their prominent white-tipped dorsal and caudal fins, whitetip reef sharks are nocturnal hunters, often seen resting during the day in crevices or under overhangs. Although t",not valid,,
shark,,Richelieu Rock,https://www.thesmilingseahorse.com/blog/discover-the-magnificent-species-of-sharks-that-you-may-encounter-in-the-andaman-sea,Discover the magnificent species of sharks that you may encounter in the Andaman Sea. - Diving liveaboard in Thailand and Myanmar,"lengths of up to 2 meters, they are generally timid and pose little danger to humans. Type: Requiem shark in the Carcharhinidae family What site gives you the best changes to see White tip reef sharks? Div",not valid,,
shark,,Richelieu Rock,https://www.thesmilingseahorse.com/blog/discover-the-magnificent-species-of-sharks-that-you-may-encounter-in-the-andaman-sea,Discover the magnificent species of sharks that you may encounter in the Andaman Sea. - Diving liveaboard in Thailand and Myanmar,quiem shark in the Carcharhinidae family What site gives you the best changes to see White tip reef sharks? Divers often encounter them close to deep drop offs in the Similan islands such as elephant head r,not valid,,
shark,,Richelieu Rock,https://www.thesmilingseahorse.com/blog/discover-the-magnificent-species-of-sharks-that-you-may-encounter-in-the-andaman-sea,Discover the magnificent species of sharks that you may encounter in the Andaman Sea. - Diving liveaboard in Thailand and Myanmar,"nection allows the embryos to receive nourishment and engage in metabolic exchanges with the mother shark during the gestation period, which lasts for at least five months. This aslo means these sharks hav",not valid,,
shark,,Richelieu Rock,https://www.thesmilingseahorse.com/blog/discover-the-magnificent-species-of-sharks-that-you-may-encounter-in-the-andaman-sea,Discover the magnificent species of sharks that you may encounter in the Andaman Sea. - Diving liveaboard in Thailand and Myanmar,"ther shark during the gestation period, which lasts for at least five months. This aslo means these sharks have a belly button! Litters of white tip reef sharks consist of 1-5 pups. The length of the newbor",not valid,,
shark,,Richelieu Rock,https://www.thesmilingseahorse.com/blog/discover-the-magnificent-species-of-sharks-that-you-may-encounter-in-the-andaman-sea,Discover the magnificent species of sharks that you may encounter in the Andaman Sea. - Diving liveaboard in Thailand and Myanmar,r at least five months. This aslo means these sharks have a belly button! Litters of white tip reef sharks consist of 1-5 pups. The length of the newborn pups ranges from 52 to 60 cm. There is no parental c,not valid,,
shark,,Richelieu Rock,https://www.thesmilingseahorse.com/blog/discover-the-magnificent-species-of-sharks-that-you-may-encounter-in-the-andaman-sea,Discover the magnificent species of sharks that you may encounter in the Andaman Sea. - Diving liveaboard in Thailand and Myanmar,ength of the newborn pups ranges from 52 to 60 cm. There is no parental care provided by the mother shark after giving birth to the pups. 3. Blacktip Reef Sharks (Carcharhinus melanopterus): Blacktip Reef,not valid,,
shark,,Richelieu Rock,https://www.thesmilingseahorse.com/blog/discover-the-magnificent-species-of-sharks-that-you-may-encounter-in-the-andaman-sea,Discover the magnificent species of sharks that you may encounter in the Andaman Sea. - Diving liveaboard in Thailand and Myanmar,e is no parental care provided by the mother shark after giving birth to the pups. 3. Blacktip Reef Sharks (Carcharhinus melanopterus): Blacktip Reef Sharks (Carcharhinus melanopterus) One of the most recog,not valid,,
shark,,Richelieu Rock,https://www.thesmilingseahorse.com/blog/discover-the-magnificent-species-of-sharks-that-you-may-encounter-in-the-andaman-sea,Discover the magnificent species of sharks that you may encounter in the Andaman Sea. - Diving liveaboard in Thailand and Myanmar,"after giving birth to the pups. 3. Blacktip Reef Sharks (Carcharhinus melanopterus): Blacktip Reef Sharks (Carcharhinus melanopterus) One of the most recognizable shark species in the Andaman Sea, blacktip",not valid,,
shark,,Richelieu Rock,https://www.thesmilingseahorse.com/blog/discover-the-magnificent-species-of-sharks-that-you-may-encounter-in-the-andaman-sea,Discover the magnificent species of sharks that you may encounter in the Andaman Sea. - Diving liveaboard in Thailand and Myanmar,"rhinus melanopterus): Blacktip Reef Sharks (Carcharhinus melanopterus) One of the most recognizable shark species in the Andaman Sea, blacktip reef sharks are renowned for their distinctive black-tipped fi",not valid,,
shark,,Richelieu Rock,https://www.thesmilingseahorse.com/blog/discover-the-magnificent-species-of-sharks-that-you-may-encounter-in-the-andaman-sea,Discover the magnificent species of sharks that you may encounter in the Andaman Sea. - Diving liveaboard in Thailand and Myanmar,"harhinus melanopterus) One of the most recognizable shark species in the Andaman Sea, blacktip reef sharks are renowned for their distinctive black-tipped fins and slender bodies. These agile swimmers are c",not valid,,
shark,,Richelieu Rock,https://www.thesmilingseahorse.com/blog/discover-the-magnificent-species-of-sharks-that-you-may-encounter-in-the-andaman-sea,Discover the magnificent species of sharks that you may encounter in the Andaman Sea. - Diving liveaboard in Thailand and Myanmar,ness their graceful movements and occasionally observe them leaping out of the water. Type: Requiem shark in the Carcharhinidae family What site gives you the best changes to see Black tip reef sharks? Div,not valid,,
shark,,Richelieu Rock,https://www.thesmilingseahorse.com/blog/discover-the-magnificent-species-of-sharks-that-you-may-encounter-in-the-andaman-sea,Discover the magnificent species of sharks that you may encounter in the Andaman Sea. - Diving liveaboard in Thailand and Myanmar,quiem shark in the Carcharhinidae family What site gives you the best changes to see Black tip reef sharks? Divers often encounter them in shallow waters and Bida Nok in Phi Phi national park gives you the,not valid,,
shark,,Richelieu Rock,https://www.thesmilingseahorse.com/blog/discover-the-magnificent-species-of-sharks-that-you-may-encounter-in-the-andaman-sea,Discover the magnificent species of sharks that you may encounter in the Andaman Sea. - Diving liveaboard in Thailand and Myanmar,"est chance to see several of them if you remain motionless and quiet. Reproduction: B lack tip reef sharks are viviparous, meaning they give live birth to fully developed pups. After a gestation period last",not valid,,
shark,,Richelieu Rock,https://www.thesmilingseahorse.com/blog/discover-the-magnificent-species-of-sharks-that-you-may-encounter-in-the-andaman-sea,Discover the magnificent species of sharks that you may encounter in the Andaman Sea. - Diving liveaboard in Thailand and Myanmar,"emale possesses two separate uteruses, each dedicated to nurturing an individual embryo. 4. ​ Nurse Sharks (Nebrius ferrugineus) Nurse Sharks (Nebrius ferrugineus) Nurse sharks, with their robust bodies and",not valid,,
shark,,Richelieu Rock,https://www.thesmilingseahorse.com/blog/discover-the-magnificent-species-of-sharks-that-you-may-encounter-in-the-andaman-sea,Discover the magnificent species of sharks that you may encounter in the Andaman Sea. - Diving liveaboard in Thailand and Myanmar,"es, each dedicated to nurturing an individual embryo. 4. ​ Nurse Sharks (Nebrius ferrugineus) Nurse Sharks (Nebrius ferrugineus) Nurse sharks, with their robust bodies and barbels on their lower jaw, are a",not valid,,
shark,,Richelieu Rock,https://www.thesmilingseahorse.com/blog/discover-the-magnificent-species-of-sharks-that-you-may-encounter-in-the-andaman-sea,Discover the magnificent species of sharks that you may encounter in the Andaman Sea. - Diving liveaboard in Thailand and Myanmar,"individual embryo. 4. ​ Nurse Sharks (Nebrius ferrugineus) Nurse Sharks (Nebrius ferrugineus) Nurse sharks, with their robust bodies and barbels on their lower jaw, are a common sight in the Andaman Sea. Th",not valid,,
shark,,Richelieu Rock,https://www.thesmilingseahorse.com/blog/discover-the-magnificent-species-of-sharks-that-you-may-encounter-in-the-andaman-sea,Discover the magnificent species of sharks that you may encounter in the Andaman Sea. - Diving liveaboard in Thailand and Myanmar,"bodies and barbels on their lower jaw, are a common sight in the Andaman Sea. These bottom-dwelling sharks prefer sandy or muddy habitats, often resting during the day and becoming more active at night. Des",not valid,,
shark,,Richelieu Rock,https://www.thesmilingseahorse.com/blog/discover-the-magnificent-species-of-sharks-that-you-may-encounter-in-the-andaman-sea,Discover the magnificent species of sharks that you may encounter in the Andaman Sea. - Diving liveaboard in Thailand and Myanmar,"ing the day and becoming more active at night. Despite their size, which can exceed 4 meters, nurse sharks are generally placid and pose no threat to divers unless provoked. Type: Carpet shark in the Gingly",not valid,,
shark,,Richelieu Rock,https://www.thesmilingseahorse.com/blog/discover-the-magnificent-species-of-sharks-that-you-may-encounter-in-the-andaman-sea,Discover the magnificent species of sharks that you may encounter in the Andaman Sea. - Diving liveaboard in Thailand and Myanmar,"eters, nurse sharks are generally placid and pose no threat to divers unless provoked. Type: Carpet shark in the Ginglymostomatidae family Size : 27cm at birth to up to 4 meters What site gives you the bes",not valid,,
shark,,Richelieu Rock,https://www.thesmilingseahorse.com/blog/discover-the-magnificent-species-of-sharks-that-you-may-encounter-in-the-andaman-sea,Discover the magnificent species of sharks that you may encounter in the Andaman Sea. - Diving liveaboard in Thailand and Myanmar,dae family Size : 27cm at birth to up to 4 meters What site gives you the best changes to see Nurse sharks? The best site to see Nurse shark in our area is around the Burma banks and quiet caves in Mergui A,not valid,,
shark,,Richelieu Rock,https://www.thesmilingseahorse.com/blog/discover-the-magnificent-species-of-sharks-that-you-may-encounter-in-the-andaman-sea,Discover the magnificent species of sharks that you may encounter in the Andaman Sea. - Diving liveaboard in Thailand and Myanmar,up to 4 meters What site gives you the best changes to see Nurse sharks? The best site to see Nurse shark in our area is around the Burma banks and quiet caves in Mergui Archipelago. While they can be spot,not valid,,
shark,,Richelieu Rock,https://www.thesmilingseahorse.com/blog/discover-the-magnificent-species-of-sharks-that-you-may-encounter-in-the-andaman-sea,Discover the magnificent species of sharks that you may encounter in the Andaman Sea. - Diving liveaboard in Thailand and Myanmar,as shown that litters contain young from multiple males. 5. Tiger S hark (Galeocerdo cuvier): Tiger Shark (Galeocerdo cuvier) The tiger shark is a captivating and powerful predator found in the North Andam,not valid,,
shark,,Richelieu Rock,https://www.thesmilingseahorse.com/blog/discover-the-magnificent-species-of-sharks-that-you-may-encounter-in-the-andaman-sea,Discover the magnificent species of sharks that you may encounter in the Andaman Sea. - Diving liveaboard in Thailand and Myanmar,from multiple males. 5. Tiger S hark (Galeocerdo cuvier): Tiger Shark (Galeocerdo cuvier) The tiger shark is a captivating and powerful predator found in the North Andaman Sea and Burma. With its distincti,not valid,,
